,date,away_team,home_team,away_points,home_points,season,regular_season,away_team_id,home_team_id
0,20160403,NYN,KCA,3,4,0,1,16,10
1,20160403,TOR,TBA,5,3,0,1,13,21
2,20160403,SLN,PIT,1,4,0,1,20,7
3,20160404,CHN,ANA,9,0,0,1,15,12
4,20160404,MIN,BAL,2,3,0,1,9,8
5,20160404,CHA,OAK,4,3,0,1,18,28
6,20160404,TOR,TBA,5,3,0,1,13,21
7,20160404,SEA,TEX,2,3,0,1,11,25
8,20160404,COL,ARI,10,5,0,1,14,6
9,20160404,WAS,ATL,4,3,0,1,23,4
10,20160404,PHI,CIN,2,6,0,1,29,27
11,20160404,SFN,MIL,12,3,0,1,0,2
12,20160404,LAN,SDN,15,0,0,1,19,17
13,20160405,CHN,ANA,6,1,0,1,15,12
14,20160405,BOS,CLE,6,2,0,1,22,24
15,20160405,NYN,KCA,2,0,0,1,16,10
16,20160405,HOU,NYA,5,3,0,1,26,1
17,20160405,CHA,OAK,5,4,0,1,18,28
18,20160405,TOR,TBA,2,3,0,1,13,21
19,20160405,SEA,TEX,10,2,0,1,11,25
20,20160405,COL,ARI,6,11,0,1,14,6
21,20160405,DET,MIA,8,7,0,1,3,5
22,20160405,SFN,MIL,2,1,0,1,0,2
23,20160405,SLN,PIT,5,6,0,1,20,7
24,20160405,LAN,SDN,3,0,0,1,19,17
25,20160406,MIN,BAL,2,4,0,1,9,8
26,20160406,BOS,CLE,6,7,0,1,22,24
27,20160406,HOU,NYA,6,16,0,1,26,1
28,20160406,CHA,OAK,1,2,0,1,18,28
29,20160406,TOR,TBA,3,5,0,1,13,21
30,20160406,SEA,TEX,9,5,0,1,11,25
31,20160406,COL,ARI,4,3,0,1,14,6
32,20160406,WAS,ATL,3,1,0,1,23,4
33,20160406,PHI,CIN,2,3,0,1,29,27
34,20160406,DET,MIA,7,3,0,1,3,5
35,20160406,SFN,MIL,3,4,0,1,0,2
36,20160406,SLN,PIT,1,5,0,1,20,7
37,20160406,LAN,SDN,7,0,0,1,19,17
38,20160407,TEX,ANA,3,4,0,1,25,12
39,20160407,MIN,BAL,2,4,0,1,9,8
40,20160407,HOU,NYA,5,8,0,1,26,1
41,20160407,CHA,OAK,6,1,0,1,18,28
42,20160407,CHN,ARI,14,6,0,1,15,6
43,20160407,PHI,CIN,6,10,0,1,29,27
44,20160407,LAN,SFN,6,12,0,1,19,0
45,20160407,MIA,WAS,6,4,0,1,5,23
46,20160408,TEX,ANA,7,3,0,1,25,12
47,20160408,TBA,BAL,1,6,0,1,21,8
48,20160408,CLE,CHA,7,1,0,1,24,18
49,20160408,NYA,DET,0,4,0,1,1,3
50,20160408,MIN,KCA,3,4,0,1,9,10
51,20160408,OAK,SEA,3,2,0,1,28,11
52,20160408,BOS,TOR,8,7,0,1,22,13
53,20160408,CHN,ARI,2,3,0,1,15,6
54,20160408,SLN,ATL,7,4,0,1,20,4
55,20160408,PIT,CIN,6,5,0,1,7,27
56,20160408,SDN,COL,13,6,0,1,17,14
57,20160408,HOU,MIL,4,6,0,1,26,2
58,20160408,PHI,NYN,2,7,0,1,29,16
59,20160408,LAN,SFN,2,3,0,1,19,0
60,20160409,TEX,ANA,4,1,0,1,25,12
61,20160409,CLE,CHA,3,7,0,1,24,18
62,20160409,NYA,DET,8,4,0,1,1,3
63,20160409,MIN,KCA,0,7,0,1,9,10
64,20160409,OAK,SEA,6,1,0,1,28,11
65,20160409,BOS,TOR,8,4,0,1,22,13
66,20160409,CHN,ARI,4,2,0,1,15,6
67,20160409,SLN,ATL,12,2,0,1,20,4
68,20160409,PIT,CIN,1,5,0,1,7,27
69,20160409,SDN,COL,16,3,0,1,17,14
70,20160409,HOU,MIL,6,4,0,1,26,2
71,20160409,PHI,NYN,1,0,0,1,29,16
72,20160409,LAN,SFN,3,2,0,1,19,0
73,20160410,TEX,ANA,1,3,0,1,25,12
74,20160410,TBA,BAL,3,5,0,1,21,8
75,20160410,MIN,KCA,3,4,0,1,9,10
76,20160410,OAK,SEA,2,1,0,1,28,11
77,20160410,BOS,TOR,0,3,0,1,22,13
78,20160410,CHN,ARI,7,3,0,1,15,6
79,20160410,SLN,ATL,12,7,0,1,20,4
80,20160410,PIT,CIN,1,2,0,1,7,27
81,20160410,SDN,COL,3,6,0,1,17,14
82,20160410,HOU,MIL,2,3,0,1,26,2
83,20160410,PHI,NYN,5,2,0,1,29,16
84,20160410,LAN,SFN,6,9,0,1,19,0
