,date,away_team,away_team_id,away_points,home_team,home_team_id,home_points,regular_season,season
0,2015-10-27 20:00:00,Cleveland Cavaliers,26,95,Chicago Bulls,25,97,1,0
1,2015-10-27 20:00:00,Detroit Pistons,13,106,Atlanta Hawks,23,94,1,0
2,2015-10-27 22:30:00,New Orleans Pelicans,17,95,Golden State Warriors,15,111,1,0
3,2015-10-28 19:00:00,Washington Wizards,28,88,Orlando Magic,4,87,1,0
4,2015-10-28 19:30:00,Philadelphia 76ers,7,95,Boston Celtics,29,112,1,0
5,2015-10-28 19:30:00,Chicago Bulls,25,115,Brooklyn Nets,5,100,1,0
6,2015-10-28 19:30:00,Utah Jazz,10,87,Detroit Pistons,13,92,1,0
7,2015-10-28 19:30:00,Indiana Pacers,3,99,Toronto Raptors,0,106,1,0
8,2015-10-28 19:30:00,Charlotte Hornets,2,94,Miami Heat,6,104,1,0
9,2015-10-28 20:00:00,Denver Nuggets,19,105,Houston Rockets,14,85,1,0
10,2015-10-28 20:00:00,Cleveland Cavaliers,26,106,Memphis Grizzlies,16,76,1,0
11,2015-10-28 20:00:00,San Antonio Spurs,9,106,Oklahoma City Thunder,18,112,1,0
12,2015-10-28 20:00:00,New York Knicks,24,122,Milwaukee Bucks,22,97,1,0
13,2015-10-28 22:00:00,Dallas Mavericks,8,111,Phoenix Suns,12,95,1,0
14,2015-10-28 22:00:00,New Orleans Pelicans,17,94,Portland Trail Blazers,11,112,1,0
15,2015-10-28 22:00:00,Los Angeles Clippers,1,111,Sacramento Kings,20,104,1,0
16,2015-10-28 22:30:00,Minnesota Timberwolves,27,112,Los Angeles Lakers,21,111,1,0
17,2015-10-29 19:00:00,Memphis Grizzlies,16,112,Indiana Pacers,3,103,1,0
18,2015-10-29 20:00:00,Atlanta Hawks,23,112,New York Knicks,24,101,1,0
19,2015-10-29 22:30:00,Dallas Mavericks,8,88,Los Angeles Clippers,1,104,1,0
20,2015-10-30 19:00:00,Oklahoma City Thunder,18,139,Orlando Magic,4,136,1,0
21,2015-10-30 19:00:00,Miami Heat,6,92,Cleveland Cavaliers,26,102,1,0
22,2015-10-30 19:00:00,Utah Jazz,10,99,Philadelphia 76ers,7,71,1,0
23,2015-10-30 19:30:00,Toronto Raptors,0,113,Boston Celtics,29,103,1,0
24,2015-10-30 19:30:00,Chicago Bulls,25,94,Detroit Pistons,13,98,1,0
25,2015-10-30 20:00:00,Charlotte Hornets,2,94,Atlanta Hawks,23,97,1,0
26,2015-10-30 20:00:00,Washington Wizards,28,118,Milwaukee Bucks,22,113,1,0
27,2015-10-30 20:30:00,Brooklyn Nets,5,75,San Antonio Spurs,9,102,1,0
28,2015-10-30 21:00:00,Minnesota Timberwolves,27,95,Denver Nuggets,19,78,1,0
29,2015-10-30 21:30:00,Golden State Warriors,15,112,Houston Rockets,14,92,1,0
30,2015-10-30 22:00:00,Los Angeles Lakers,21,114,Sacramento Kings,20,132,1,0
31,2015-10-30 22:30:00,Portland Trail Blazers,11,92,Phoenix Suns,12,110,1,0
32,2015-10-31 19:00:00,Utah Jazz,10,97,Indiana Pacers,3,76,1,0
33,2015-10-31 19:00:00,New York Knicks,24,117,Washington Wizards,28,110,1,0
34,2015-10-31 19:30:00,Golden State Warriors,15,134,New Orleans Pelicans,17,120,1,0
35,2015-10-31 20:00:00,Brooklyn Nets,5,91,Memphis Grizzlies,16,101,1,0
36,2015-10-31 22:00:00,Phoenix Suns,12,101,Portland Trail Blazers,11,90,1,0
37,2015-10-31 22:30:00,Sacramento Kings,20,109,Los Angeles Clippers,1,114,1,0
38,2015-11-01 14:00:00,Atlanta Hawks,23,94,Charlotte Hornets,2,92,1,0
39,2015-11-01 15:30:00,San Antonio Spurs,9,95,Boston Celtics,29,87,1,0
40,2015-11-01 18:00:00,Milwaukee Bucks,22,87,Toronto Raptors,0,106,1,0
41,2015-11-01 18:00:00,Houston Rockets,14,89,Miami Heat,6,109,1,0
42,2015-11-01 19:00:00,Orlando Magic,4,87,Chicago Bulls,25,92,1,0
43,2015-11-01 19:00:00,Denver Nuggets,19,93,Oklahoma City Thunder,18,117,1,0
44,2015-11-01 21:30:00,Dallas Mavericks,8,103,Los Angeles Lakers,21,93,1,0
45,2015-11-02 19:00:00,Cleveland Cavaliers,26,107,Philadelphia 76ers,7,100,1,0
46,2015-11-02 19:30:00,Milwaukee Bucks,22,103,Brooklyn Nets,5,96,1,0
47,2015-11-02 19:30:00,San Antonio Spurs,9,94,New York Knicks,24,84,1,0
48,2015-11-02 20:00:00,Oklahoma City Thunder,18,105,Houston Rockets,14,110,1,0
49,2015-11-02 20:00:00,Portland Trail Blazers,11,106,Minnesota Timberwolves,27,101,1,0
50,2015-11-02 22:30:00,Memphis Grizzlies,16,69,Golden State Warriors,15,119,1,0
51,2015-11-02 22:30:00,Phoenix Suns,12,96,Los Angeles Clippers,1,102,1,0
52,2015-11-03 19:00:00,Chicago Bulls,25,105,Charlotte Hornets,2,130,1,0
53,2015-11-03 19:30:00,Indiana Pacers,3,94,Detroit Pistons,13,82,1,0
54,2015-11-03 19:30:00,Atlanta Hawks,23,98,Miami Heat,6,92,1,0
55,2015-11-03 20:00:00,Orlando Magic,4,103,New Orleans Pelicans,17,94,1,0
56,2015-11-03 20:30:00,Toronto Raptors,0,102,Dallas Mavericks,8,91,1,0
57,2015-11-03 22:00:00,Memphis Grizzlies,16,103,Sacramento Kings,20,89,1,0
58,2015-11-03 22:30:00,Denver Nuggets,19,120,Los Angeles Lakers,21,109,1,0
59,2015-11-04 19:00:00,Boston Celtics,29,98,Indiana Pacers,3,100,1,0
60,2015-11-04 19:00:00,San Antonio Spurs,9,99,Washington Wizards,28,102,1,0
61,2015-11-04 20:00:00,Toronto Raptors,0,103,Oklahoma City Thunder,18,98,1,0
62,2015-11-04 20:00:00,Philadelphia 76ers,7,87,Milwaukee Bucks,22,91,1,0
63,2015-11-04 20:00:00,Brooklyn Nets,5,87,Atlanta Hawks,23,101,1,0
64,2015-11-04 20:00:00,New York Knicks,24,86,Cleveland Cavaliers,26,96,1,0
65,2015-11-04 20:00:00,Orlando Magic,4,114,Houston Rockets,14,119,1,0
66,2015-11-04 21:00:00,Sacramento Kings,20,97,Phoenix Suns,12,118,1,0
67,2015-11-04 21:00:00,Portland Trail Blazers,11,108,Utah Jazz,10,92,1,0
68,2015-11-04 22:30:00,Los Angeles Clippers,1,108,Golden State Warriors,15,112,1,0
69,2015-11-05 20:00:00,Oklahoma City Thunder,18,98,Chicago Bulls,25,104,1,0
70,2015-11-05 20:00:00,Miami Heat,6,96,Minnesota Timberwolves,27,84,1,0
71,2015-11-05 20:30:00,Charlotte Hornets,2,108,Dallas Mavericks,8,94,1,0
72,2015-11-05 21:00:00,Utah Jazz,10,96,Denver Nuggets,19,84,1,0
73,2015-11-05 22:30:00,Memphis Grizzlies,16,96,Portland Trail Blazers,11,115,1,0
74,2015-11-06 19:00:00,Toronto Raptors,0,87,Orlando Magic,4,92,1,0
75,2015-11-06 19:30:00,Washington Wizards,28,98,Boston Celtics,29,118,1,0
76,2015-11-06 19:30:00,Los Angeles Lakers,21,104,Brooklyn Nets,5,98,1,0
77,2015-11-06 19:30:00,Philadelphia 76ers,7,102,Cleveland Cavaliers,26,108,1,0
78,2015-11-06 19:30:00,Milwaukee Bucks,22,99,New York Knicks,24,92,1,0
79,2015-11-06 20:00:00,Miami Heat,6,87,Indiana Pacers,3,90,1,0
80,2015-11-06 20:00:00,Atlanta Hawks,23,121,New Orleans Pelicans,17,115,1,0
81,2015-11-06 21:30:00,Detroit Pistons,13,100,Phoenix Suns,12,92,1,0
82,2015-11-06 22:30:00,Denver Nuggets,19,104,Golden State Warriors,15,119,1,0
83,2015-11-06 22:30:00,Houston Rockets,14,116,Sacramento Kings,20,110,1,0
84,2015-11-07 18:00:00,Minnesota Timberwolves,27,102,Chicago Bulls,25,93,1,0
85,2015-11-07 19:00:00,Orlando Magic,4,105,Philadelphia 76ers,7,97,1,0
86,2015-11-07 19:30:00,Washington Wizards,28,99,Atlanta Hawks,23,114,1,0
87,2015-11-07 20:30:00,New Orleans Pelicans,17,98,Dallas Mavericks,8,107,1,0
88,2015-11-07 20:30:00,Brooklyn Nets,5,86,Milwaukee Bucks,22,94,1,0
89,2015-11-07 20:30:00,Charlotte Hornets,2,94,San Antonio Spurs,9,114,1,0
90,2015-11-07 21:00:00,Memphis Grizzlies,16,79,Utah Jazz,10,89,1,0
91,2015-11-07 22:00:00,Golden State Warriors,15,103,Sacramento Kings,20,94,1,0
92,2015-11-07 22:30:00,Houston Rockets,14,109,Los Angeles Clippers,1,105,1,0
93,2015-11-08 15:30:00,Indiana Pacers,3,97,Cleveland Cavaliers,26,101,1,0
