,home_team,away_team,home_team_id,away_team_id,home_points,away_points,regular_season,season
0,Toronto Maple Leafs,Montreal Canadiens,5,9,1,3,1,0
1,Calgary Flames,Vancouver Canucks,12,0,1,5,1,0
2,Chicago Blackhawks,New York Rangers,21,14,2,3,1,0
3,Los Angeles Kings,San Jose Sharks,26,6,1,5,1,0
4,Tampa Bay Lightning,Philadelphia Flyers,16,22,3,2,1,0
5,Nashville Predators,Carolina Hurricanes,20,10,2,1,1,0
6,Boston Bruins,Winnipeg Jets,7,28,2,6,1,0
7,St Louis Blues,Edmonton Oilers,3,1,3,1,1,0
8,Dallas Stars,Pittsburgh Penguins,8,18,3,0,1,0
9,Buffalo Sabres,Ottawa Senators,17,4,1,3,1,0
10,Colorado Avalanche,Minnesota Wild,13,19,4,5,1,0
11,New York Islanders,Chicago Blackhawks,23,21,2,3,1,0
12,Los Angeles Kings,Arizona Coyotes,26,29,1,4,1,0
13,New Jersey Devils,Winnipeg Jets,24,28,1,3,1,0
14,Detroit Red Wings,Toronto Maple Leafs,27,5,4,0,1,0
15,Columbus Blue Jackets,New York Rangers,25,14,2,4,1,0
16,New York Rangers,Columbus Blue Jackets,14,25,5,2,1,0
17,Minnesota Wild,St Louis Blues,19,3,3,2,1,0
18,Boston Bruins,Montreal Canadiens,7,9,2,4,1,0
19,Washington Capitals,New Jersey Devils,2,24,5,3,1,0
20,San Jose Sharks,Anaheim Ducks,6,11,2,0,1,0
21,Vancouver Canucks,Calgary Flames,0,12,2,3,1,0
22,Florida Panthers,Philadelphia Flyers,15,22,7,1,1,0
23,Chicago Blackhawks,New York Islanders,21,23,4,1,1,0
24,Buffalo Sabres,Tampa Bay Lightning,17,16,1,4,1,0
25,Nashville Predators,Edmonton Oilers,20,1,2,0,1,0
26,Arizona Coyotes,Pittsburgh Penguins,29,18,2,1,1,0
27,Carolina Hurricanes,Detroit Red Wings,10,27,3,4,1,0
28,Toronto Maple Leafs,Ottawa Senators,5,4,4,4,1,0
29,Colorado Avalanche,Dallas Stars,13,8,6,3,1,0
30,Ottawa Senators,Montreal Canadiens,4,9,1,3,1,0
31,Buffalo Sabres,Columbus Blue Jackets,17,25,4,2,1,0
32,Anaheim Ducks,Vancouver Canucks,11,0,1,1,1,0
33,New York Islanders,Winnipeg Jets,23,28,4,2,1,0
34,Boston Bruins,Tampa Bay Lightning,7,16,3,6,1,0
35,Philadelphia Flyers,Florida Panthers,22,15,1,0,1,0
36,Calgary Flames,St Louis Blues,12,3,3,4,1,0
37,Pittsburgh Penguins,Montreal Canadiens,18,9,2,3,1,0
38,Los Angeles Kings,Vancouver Canucks,26,0,0,3,1,0
39,New York Rangers,Winnipeg Jets,14,28,1,4,1,0
40,Detroit Red Wings,Tampa Bay Lightning,27,16,3,1,1,0
41,Dallas Stars,Edmonton Oilers,8,1,4,2,1,0
42,Carolina Hurricanes,Florida Panthers,10,15,1,4,1,0
43,New Jersey Devils,Nashville Predators,24,20,1,3,1,0
44,Washington Capitals,San Jose Sharks,2,6,0,5,1,0
45,Philadelphia Flyers,Chicago Blackhawks,22,21,3,0,1,0
46,Colorado Avalanche,Boston Bruins,13,7,2,6,1,0
47,Anaheim Ducks,Arizona Coyotes,11,29,0,4,1,0
48,Columbus Blue Jackets,Ottawa Senators,25,4,3,7,1,0
49,Washington Capitals,Chicago Blackhawks,2,21,4,1,1,0
50,Edmonton Oilers,St Louis Blues,1,3,2,4,1,0
51,New York Islanders,Nashville Predators,23,20,4,3,1,0
52,Montreal Canadiens,New York Rangers,9,14,3,0,1,0
53,Florida Panthers,Buffalo Sabres,15,17,3,2,1,0
54,Pittsburgh Penguins,Ottawa Senators,18,4,2,0,1,0
55,Tampa Bay Lightning,Dallas Stars,16,8,3,5,1,0
56,Arizona Coyotes,Minnesota Wild,29,19,3,4,1,0
57,Anaheim Ducks,Colorado Avalanche,11,13,0,3,1,0
58,Vancouver Canucks,St Louis Blues,0,3,3,4,1,0
59,Winnipeg Jets,Calgary Flames,28,12,3,1,1,0
60,Detroit Red Wings,Carolina Hurricanes,27,10,3,5,1,0
61,Columbus Blue Jackets,Toronto Maple Leafs,25,5,3,6,1,0
62,New Jersey Devils,San Jose Sharks,24,6,1,1,1,0
63,Los Angeles Kings,Minnesota Wild,26,19,2,1,1,0
64,Chicago Blackhawks,Columbus Blue Jackets,21,25,4,1,1,0
65,Arizona Coyotes,Boston Bruins,29,7,3,5,1,0
66,Washington Capitals,Carolina Hurricanes,2,10,4,1,1,0
67,Pittsburgh Penguins,Toronto Maple Leafs,18,5,2,1,1,0
68,Calgary Flames,Edmonton Oilers,12,1,2,5,1,0
69,Ottawa Senators,Nashville Predators,4,20,3,3,1,0
70,Montreal Canadiens,Detroit Red Wings,9,27,4,1,1,0
71,Tampa Bay Lightning,Buffalo Sabres,16,17,2,1,1,0
72,New York Islanders,San Jose Sharks,23,6,6,3,1,0
73,Florida Panthers,Dallas Stars,15,8,2,4,1,0
74,Los Angeles Kings,Colorado Avalanche,26,13,2,1,1,0
75,Winnipeg Jets,St Louis Blues,28,3,2,4,1,0
76,New York Rangers,New Jersey Devils,14,24,1,2,1,0
77,Vancouver Canucks,Edmonton Oilers,0,1,1,2,1,0
78,Anaheim Ducks,Minnesota Wild,11,19,4,1,1,0
79,New York Rangers,San Jose Sharks,14,6,4,0,1,0
80,Montreal Canadiens,St Louis Blues,9,3,3,0,1,0
81,Calgary Flames,Washington Capitals,12,2,2,6,1,0
82,New Jersey Devils,Arizona Coyotes,24,29,3,2,1,0
83,Columbus Blue Jackets,New York Islanders,25,23,0,4,1,0
84,Nashville Predators,Tampa Bay Lightning,20,16,4,4,1,0
85,Pittsburgh Penguins,Florida Panthers,18,15,3,2,1,0
86,Philadelphia Flyers,Dallas Stars,22,8,1,2,1,0
87,Boston Bruins,Philadelphia Flyers,7,22,4,5,1,0
88,Colorado Avalanche,Carolina Hurricanes,13,10,0,1,1,0
89,Buffalo Sabres,Toronto Maple Leafs,17,5,1,1,1,0
90,Edmonton Oilers,Detroit Red Wings,1,27,3,1,1,0
91,Minnesota Wild,Columbus Blue Jackets,19,25,3,2,1,0
92,Vancouver Canucks,Washington Capitals,0,2,2,3,1,0
93,New York Rangers,Arizona Coyotes,14,29,4,1,1,0
94,Ottawa Senators,New Jersey Devils,4,24,4,4,1,0
95,Nashville Predators,Anaheim Ducks,20,11,5,1,1,0
96,San Jose Sharks,Los Angeles Kings,6,26,1,4,1,0
97,Chicago Blackhawks,Florida Panthers,21,15,3,2,1,0
98,Pittsburgh Penguins,Dallas Stars,18,8,1,4,1,0
99,New York Islanders,Boston Bruins,23,7,3,5,1,0
100,Buffalo Sabres,Montreal Canadiens,17,9,2,7,1,0
101,Edmonton Oilers,Washington Capitals,1,2,4,7,1,0
102,Los Angeles Kings,Carolina Hurricanes,26,10,3,0,1,0
103,Winnipeg Jets,Tampa Bay Lightning,28,16,3,4,1,0
104,Calgary Flames,Detroit Red Wings,12,27,3,2,1,0
105,Colorado Avalanche,Columbus Blue Jackets,13,25,3,4,1,0
106,Ottawa Senators,Arizona Coyotes,4,29,1,4,1,0
107,Buffalo Sabres,New Jersey Devils,17,24,3,4,1,0
108,Minnesota Wild,Anaheim Ducks,19,11,3,0,1,0
109,San Jose Sharks,Carolina Hurricanes,6,10,5,2,1,0
110,St Louis Blues,New York Islanders,3,23,2,3,1,0
111,Chicago Blackhawks,Tampa Bay Lightning,21,16,1,0,1,0
112,Montreal Canadiens,Toronto Maple Leafs,9,5,5,3,1,0
113,Dallas Stars,Florida Panthers,8,15,2,6,1,0
114,Nashville Predators,Pittsburgh Penguins,20,18,1,2,1,0
115,Philadelphia Flyers,New York Rangers,22,14,2,2,1,0
116,Vancouver Canucks,Detroit Red Wings,0,27,2,3,1,0
117,New York Rangers,Calgary Flames,14,12,4,1,1,0
118,Edmonton Oilers,Los Angeles Kings,1,26,2,3,1,0
119,Winnipeg Jets,Minnesota Wild,28,19,5,4,1,0
120,Toronto Maple Leafs,Arizona Coyotes,5,29,3,4,1,0
121,Chicago Blackhawks,Anaheim Ducks,21,11,1,0,1,0
122,New York Islanders,Calgary Flames,23,12,4,0,1,0
123,Florida Panthers,Colorado Avalanche,15,13,4,1,1,0
124,New Jersey Devils,Columbus Blue Jackets,24,25,1,3,1,0
125,Vancouver Canucks,Montreal Canadiens,0,9,5,1,1,0
126,Boston Bruins,Arizona Coyotes,7,29,6,0,1,0
127,Dallas Stars,Anaheim Ducks,8,11,4,3,1,0
128,Detroit Red Wings,Carolina Hurricanes,27,10,1,3,1,0
129,Winnipeg Jets,Los Angeles Kings,28,26,1,4,1,0
130,St Louis Blues,Tampa Bay Lightning,3,16,2,0,1,0
131,Minnesota Wild,Edmonton Oilers,19,1,4,3,1,0
132,Philadelphia Flyers,Buffalo Sabres,22,17,3,4,1,0
133,Ottawa Senators,Calgary Flames,4,12,4,4,1,0
134,Washington Capitals,Pittsburgh Penguins,2,18,1,3,1,0
135,San Jose Sharks,Nashville Predators,6,20,1,2,1,0
136,Tampa Bay Lightning,Colorado Avalanche,16,13,1,2,1,0
137,Winnipeg Jets,Chicago Blackhawks,28,21,3,1,1,0
138,Edmonton Oilers,Montreal Canadiens,1,9,4,3,1,0
139,Dallas Stars,Vancouver Canucks,8,0,4,3,1,0
140,Philadelphia Flyers,New Jersey Devils,22,24,1,4,1,0
141,St Louis Blues,Anaheim Ducks,3,11,2,1,1,0
142,New York Islanders,Carolina Hurricanes,23,10,2,3,1,0
143,Pittsburgh Penguins,Buffalo Sabres,18,17,4,3,1,0
144,Carolina Hurricanes,Colorado Avalanche,10,13,3,2,1,0
145,Minnesota Wild,Chicago Blackhawks,19,21,5,4,1,0
146,Washington Capitals,Columbus Blue Jackets,2,25,2,1,1,0
147,Florida Panthers,Boston Bruins,15,7,1,3,1,0
148,Calgary Flames,Montreal Canadiens,12,9,2,6,1,0
149,Arizona Coyotes,Vancouver Canucks,29,0,3,4,1,0
150,Buffalo Sabres,Philadelphia Flyers,17,22,3,1,1,0
151,New York Rangers,Toronto Maple Leafs,14,5,3,1,1,0
152,Detroit Red Wings,Ottawa Senators,27,4,1,3,1,0
153,Tampa Bay Lightning,Boston Bruins,16,7,1,3,1,0
154,Florida Panthers,Washington Capitals,15,2,1,2,1,0
155,Edmonton Oilers,Calgary Flames,1,12,4,5,1,0
156,New Jersey Devils,New York Islanders,24,23,2,2,1,0
157,Columbus Blue Jackets,Winnipeg Jets,25,28,2,3,1,0
158,Toronto Maple Leafs,Pittsburgh Penguins,5,18,0,4,1,0
159,Los Angeles Kings,Nashville Predators,26,20,4,3,1,0
160,Ottawa Senators,Detroit Red Wings,4,27,3,5,1,0
161,Dallas Stars,San Jose Sharks,8,6,5,3,1,0
162,St Louis Blues,Minnesota Wild,3,19,3,2,1,0
163,Montreal Canadiens,Winnipeg Jets,9,28,5,1,1,0
164,Carolina Hurricanes,Tampa Bay Lightning,10,16,3,4,1,0
165,Anaheim Ducks,Nashville Predators,11,20,4,2,1,0
166,New York Islanders,Buffalo Sabres,23,17,1,2,1,0
167,Colorado Avalanche,San Jose Sharks,13,6,3,4,1,0
168,Vancouver Canucks,Philadelphia Flyers,0,22,4,1,1,0
169,Chicago Blackhawks,Los Angeles Kings,21,26,4,2,1,0
170,Toronto Maple Leafs,Dallas Stars,5,8,4,1,1,0
171,San Jose Sharks,Columbus Blue Jackets,6,25,2,5,1,0
172,New York Rangers,Washington Capitals,14,2,5,2,1,0
173,New York Islanders,New Jersey Devils,23,24,2,1,1,0
174,Colorado Avalanche,Calgary Flames,13,12,6,3,1,0
175,Edmonton Oilers,Philadelphia Flyers,1,22,4,2,1,0
176,St Louis Blues,Los Angeles Kings,3,26,0,3,1,0
177,Detroit Red Wings,Tampa Bay Lightning,27,16,2,1,1,0
178,Montreal Canadiens,Ottawa Senators,9,4,1,2,1,0
179,Boston Bruins,Dallas Stars,7,8,3,5,1,0
180,Chicago Blackhawks,St Louis Blues,21,3,5,6,1,0
181,Toronto Maple Leafs,Winnipeg Jets,5,28,2,4,1,0
182,Anaheim Ducks,Florida Panthers,11,15,2,2,1,0
183,Vancouver Canucks,Pittsburgh Penguins,0,18,2,3,1,0
184,Arizona Coyotes,Colorado Avalanche,29,13,4,2,1,0
185,Los Angeles Kings,Columbus Blue Jackets,26,25,2,3,1,0
186,Washington Capitals,Boston Bruins,2,7,4,1,1,0
187,Calgary Flames,Philadelphia Flyers,12,22,2,1,1,0
188,Montreal Canadiens,New York Islanders,9,23,4,1,1,0
189,Ottawa Senators,Winnipeg Jets,4,28,2,2,1,0
190,Buffalo Sabres,Tampa Bay Lightning,17,16,1,4,1,0
191,San Jose Sharks,Florida Panthers,6,15,5,2,1,0
192,Minnesota Wild,Nashville Predators,19,20,2,3,1,0
193,New Jersey Devils,Chicago Blackhawks,24,21,4,2,1,0
194,Anaheim Ducks,Columbus Blue Jackets,11,25,4,2,1,0
195,Edmonton Oilers,Pittsburgh Penguins,1,18,1,2,1,0
196,Colorado Avalanche,New York Rangers,13,14,1,2,1,0
197,Toronto Maple Leafs,Detroit Red Wings,5,27,1,2,1,0
198,Carolina Hurricanes,Dallas Stars,10,8,1,4,1,0
199,Nashville Predators,St Louis Blues,20,3,0,4,1,0
200,Montreal Canadiens,Boston Bruins,9,7,4,2,1,0
201,Buffalo Sabres,Vancouver Canucks,17,0,3,2,1,0
202,San Jose Sharks,Anaheim Ducks,6,11,0,1,1,0
203,Winnipeg Jets,Philadelphia Flyers,28,22,0,3,1,0
204,Minnesota Wild,Tampa Bay Lightning,19,16,1,0,1,0
205,Washington Capitals,Toronto Maple Leafs,2,5,2,2,1,0
206,Los Angeles Kings,Florida Panthers,26,15,4,1,1,0
207,Calgary Flames,Pittsburgh Penguins,12,18,5,2,1,0
208,Arizona Coyotes,New York Rangers,29,14,1,4,1,0
209,Carolina Hurricanes,Ottawa Senators,10,4,3,2,1,0
210,New York Islanders,Boston Bruins,23,7,1,2,1,0
211,New Jersey Devils,Vancouver Canucks,24,0,4,3,1,0
212,Chicago Blackhawks,Edmonton Oilers,21,1,4,2,1,0
213,Detroit Red Wings,Dallas Stars,27,8,1,4,1,0
214,Anaheim Ducks,Arizona Coyotes,11,29,3,4,1,0
215,Philadelphia Flyers,Colorado Avalanche,22,13,0,4,1,0
216,New Jersey Devils,St Louis Blues,24,3,0,2,1,0
217,Columbus Blue Jackets,Vancouver Canucks,25,0,3,5,1,0
218,Detroit Red Wings,Washington Capitals,27,2,1,0,1,0
219,Los Angeles Kings,Arizona Coyotes,26,29,2,3,1,0
220,Florida Panthers,Calgary Flames,15,12,4,3,1,0
221,New York Rangers,Carolina Hurricanes,14,10,3,0,1,0
222,San Jose Sharks,New York Islanders,6,23,2,4,1,0
223,Minnesota Wild,Winnipeg Jets,19,28,5,3,1,0
224,Dallas Stars,Toronto Maple Leafs,8,5,2,3,1,0
225,Tampa Bay Lightning,Buffalo Sabres,16,17,1,4,1,0
226,Nashville Predators,Ottawa Senators,20,4,7,5,1,0
227,Pittsburgh Penguins,Montreal Canadiens,18,9,3,3,1,0
228,Anaheim Ducks,Edmonton Oilers,11,1,3,4,1,0
229,Boston Bruins,Colorado Avalanche,7,13,2,3,1,0
230,New York Rangers,St Louis Blues,14,3,6,3,1,0
231,Ottawa Senators,Vancouver Canucks,4,0,3,2,1,0
232,Philadelphia Flyers,Washington Capitals,22,2,2,5,1,0
233,Chicago Blackhawks,New Jersey Devils,21,24,2,3,1,0
234,Tampa Bay Lightning,Calgary Flames,16,12,3,1,1,0
235,Los Angeles Kings,New York Islanders,26,23,2,1,1,0
236,Dallas Stars,Winnipeg Jets,8,28,6,3,1,0
237,Nashville Predators,Toronto Maple Leafs,20,5,1,1,1,0
238,Arizona Coyotes,Edmonton Oilers,29,1,4,1,1,0
239,Florida Panthers,Buffalo Sabres,15,17,2,3,1,0
240,Carolina Hurricanes,Minnesota Wild,10,19,2,3,1,0
241,Pittsburgh Penguins,Columbus Blue Jackets,18,25,1,2,1,0
242,Washington Capitals,Calgary Flames,2,12,2,3,1,0
243,Anaheim Ducks,New York Islanders,11,23,1,4,1,0
244,Detroit Red Wings,San Jose Sharks,27,6,2,3,1,0
245,Montreal Canadiens,Colorado Avalanche,9,13,1,6,1,0
246,St Louis Blues,Chicago Blackhawks,3,21,2,4,1,0
247,Toronto Maple Leafs,Vancouver Canucks,5,0,4,2,1,0
248,Columbus Blue Jackets,Arizona Coyotes,25,29,5,2,1,0
249,Carolina Hurricanes,Philadelphia Flyers,10,22,2,3,1,0
250,Nashville Predators,Winnipeg Jets,20,28,7,0,1,0
251,Los Angeles Kings,Edmonton Oilers,26,1,4,3,1,0
252,Tampa Bay Lightning,Florida Panthers,16,15,4,4,1,0
253,New Jersey Devils,Pittsburgh Penguins,24,18,4,0,1,0
254,Ottawa Senators,New York Rangers,4,14,1,1,1,0
255,Boston Bruins,Detroit Red Wings,7,27,3,1,1,0
256,Buffalo Sabres,San Jose Sharks,17,6,1,2,1,0
257,Dallas Stars,Minnesota Wild,8,19,3,2,1,0
258,Chicago Blackhawks,Calgary Flames,21,12,4,1,1,0
259,New York Rangers,Toronto Maple Leafs,14,5,4,3,1,0
260,Montreal Canadiens,Vancouver Canucks,9,0,4,3,1,0
261,New York Islanders,Arizona Coyotes,23,29,5,2,1,0
262,Carolina Hurricanes,Anaheim Ducks,10,11,1,4,1,0
263,St Louis Blues,Winnipeg Jets,3,28,3,2,1,0
264,Florida Panthers,Tampa Bay Lightning,15,16,1,0,1,0
265,Ottawa Senators,Detroit Red Wings,4,27,3,4,1,0
266,Toronto Maple Leafs,Colorado Avalanche,5,13,5,1,1,0
267,Columbus Blue Jackets,St Louis Blues,25,3,3,1,1,0
268,Calgary Flames,New Jersey Devils,12,24,3,2,1,0
269,Nashville Predators,Anaheim Ducks,20,11,3,2,1,0
270,Philadelphia Flyers,Los Angeles Kings,22,26,2,2,1,0
271,Boston Bruins,San Jose Sharks,7,6,4,5,1,0
272,Buffalo Sabres,Dallas Stars,17,8,1,3,1,0
273,Pittsburgh Penguins,Minnesota Wild,18,19,4,3,1,0
274,Edmonton Oilers,Chicago Blackhawks,1,21,3,4,1,0
275,Winnipeg Jets,Vancouver Canucks,28,0,4,1,1,0
276,Detroit Red Wings,Washington Capitals,27,2,1,2,1,0
277,Pittsburgh Penguins,Colorado Avalanche,18,13,4,3,1,0
278,Ottawa Senators,Columbus Blue Jackets,4,25,3,0,1,0
279,Montreal Canadiens,Arizona Coyotes,9,29,2,3,1,0
280,Florida Panthers,Anaheim Ducks,15,11,1,3,1,0
281,Tampa Bay Lightning,New York Rangers,16,14,2,1,1,0
282,St Louis Blues,Buffalo Sabres,3,17,2,2,1,0
283,Philadelphia Flyers,San Jose Sharks,22,6,0,1,1,0
284,Washington Capitals,Dallas Stars,2,8,2,3,1,0
285,Boston Bruins,Minnesota Wild,7,19,4,2,1,0
286,Calgary Flames,Chicago Blackhawks,12,21,2,1,1,0
287,New York Islanders,Montreal Canadiens,23,9,3,5,1,0
288,Edmonton Oilers,New Jersey Devils,1,24,5,1,1,0
289,Detroit Red Wings,Los Angeles Kings,27,26,3,2,1,0
290,Carolina Hurricanes,Toronto Maple Leafs,10,5,1,1,1,0
291,Columbus Blue Jackets,Nashville Predators,25,20,4,0,1,0
292,Washington Capitals,Colorado Avalanche,2,13,7,3,1,0
293,Vancouver Canucks,Chicago Blackhawks,0,21,6,3,1,0
294,Winnipeg Jets,Arizona Coyotes,28,29,3,2,1,0
295,Tampa Bay Lightning,Anaheim Ducks,16,11,5,0,1,0
296,Ottawa Senators,Philadelphia Flyers,4,22,4,0,1,0
297,Boston Bruins,Toronto Maple Leafs,7,5,2,0,1,0
298,Minnesota Wild,Nashville Predators,19,20,4,0,1,0
299,Florida Panthers,New York Rangers,15,14,4,5,1,0
300,St Louis Blues,Detroit Red Wings,3,27,3,4,1,0
301,Dallas Stars,Buffalo Sabres,8,17,3,0,1,0
302,Pittsburgh Penguins,San Jose Sharks,18,6,1,3,1,0
303,Vancouver Canucks,New Jersey Devils,0,24,2,3,1,0
304,Montreal Canadiens,New York Islanders,9,23,4,2,1,0
305,Carolina Hurricanes,Los Angeles Kings,10,26,4,3,1,0
306,Columbus Blue Jackets,San Jose Sharks,25,6,3,5,1,0
307,Winnipeg Jets,Colorado Avalanche,28,13,1,4,1,0
308,Buffalo Sabres,St Louis Blues,17,3,1,2,1,0
309,Toronto Maple Leafs,Boston Bruins,5,7,3,3,1,0
310,Philadelphia Flyers,Carolina Hurricanes,22,10,3,2,1,0
311,Florida Panthers,Los Angeles Kings,15,26,1,3,1,0
312,Washington Capitals,Edmonton Oilers,2,1,1,0,1,0
313,New York Rangers,Nashville Predators,14,20,3,0,1,0
314,Anaheim Ducks,Calgary Flames,11,12,5,3,1,0
315,Dallas Stars,Ottawa Senators,8,4,4,7,1,0
316,San Jose Sharks,Chicago Blackhawks,6,21,2,5,1,0
317,New Jersey Devils,Columbus Blue Jackets,24,25,1,2,1,0
318,Pittsburgh Penguins,St Louis Blues,18,3,4,3,1,0
319,Detroit Red Wings,Boston Bruins,27,7,2,3,1,0
320,New York Rangers,Montreal Canadiens,14,9,1,5,1,0
321,Minnesota Wild,Vancouver Canucks,19,0,2,3,1,0
322,Arizona Coyotes,Anaheim Ducks,29,11,4,2,1,0
323,New York Islanders,Philadelphia Flyers,23,22,3,1,1,0
324,Washington Capitals,Winnipeg Jets,2,28,5,3,1,0
325,Tampa Bay Lightning,Los Angeles Kings,16,26,1,1,1,0
326,Carolina Hurricanes,Edmonton Oilers,10,1,4,1,1,0
327,Buffalo Sabres,Nashville Predators,17,20,2,3,1,0
328,Colorado Avalanche,Ottawa Senators,13,4,3,5,1,0
329,Anaheim Ducks,Chicago Blackhawks,11,21,2,3,1,0
330,New Jersey Devils,Montreal Canadiens,24,9,2,2,1,0
331,Dallas Stars,Vancouver Canucks,8,0,2,2,1,0
332,Arizona Coyotes,Calgary Flames,29,12,2,1,1,0
333,Buffalo Sabres,Carolina Hurricanes,17,10,4,1,1,0
334,Florida Panthers,New York Islanders,15,23,2,2,1,0
335,Minnesota Wild,Winnipeg Jets,19,28,1,3,1,0
336,Washington Capitals,Tampa Bay Lightning,2,16,4,2,1,0
337,Detroit Red Wings,Edmonton Oilers,27,1,4,3,1,0
338,Columbus Blue Jackets,Pittsburgh Penguins,25,18,2,1,1,0
339,Philadelphia Flyers,Nashville Predators,22,20,3,2,1,0
340,Boston Bruins,New York Rangers,7,14,4,3,1,0
341,Los Angeles Kings,Chicago Blackhawks,26,21,3,2,1,0
342,St Louis Blues,Columbus Blue Jackets,3,25,3,1,1,0
343,Toronto Maple Leafs,Washington Capitals,5,2,2,4,1,0
344,Montreal Canadiens,New Jersey Devils,9,24,2,3,1,0
345,San Jose Sharks,Calgary Flames,6,12,5,2,1,0
346,New York Rangers,Philadelphia Flyers,14,22,0,3,1,0
347,Tampa Bay Lightning,New York Islanders,16,23,2,3,1,0
348,Colorado Avalanche,Winnipeg Jets,13,28,5,3,1,0
349,Pittsburgh Penguins,Edmonton Oilers,18,1,2,2,1,0
350,Nashville Predators,Buffalo Sabres,20,17,1,4,1,0
351,Arizona Coyotes,Ottawa Senators,29,4,4,3,1,0
352,Minnesota Wild,Dallas Stars,19,8,3,4,1,0
353,Detroit Red Wings,Florida Panthers,27,15,1,2,1,0
354,New York Islanders,Colorado Avalanche,23,13,5,3,1,0
355,Anaheim Ducks,Vancouver Canucks,11,0,4,0,1,0
356,New York Rangers,Carolina Hurricanes,14,10,4,3,1,0
357,Toronto Maple Leafs,Edmonton Oilers,5,1,3,0,1,0
358,New Jersey Devils,Colorado Avalanche,24,13,1,2,1,0
359,Montreal Canadiens,Columbus Blue Jackets,9,25,2,1,1,0
360,Los Angeles Kings,Vancouver Canucks,26,0,2,1,1,0
361,Nashville Predators,Arizona Coyotes,20,29,5,2,1,0
362,Ottawa Senators,Philadelphia Flyers,4,22,2,4,1,0
363,St Louis Blues,Florida Panthers,3,15,1,3,1,0
364,San Jose Sharks,Pittsburgh Penguins,6,18,1,5,1,0
365,Detroit Red Wings,Buffalo Sabres,27,17,4,4,1,0
366,Calgary Flames,Dallas Stars,12,8,3,3,1,0
367,Chicago Blackhawks,Minnesota Wild,21,19,1,2,1,0
368,Edmonton Oilers,Boston Bruins,1,7,2,2,1,0
369,Anaheim Ducks,Tampa Bay Lightning,11,16,1,2,1,0
370,Winnipeg Jets,Toronto Maple Leafs,28,5,6,1,1,0
371,New York Islanders,New York Rangers,23,14,1,1,1,0
372,New York Rangers,Colorado Avalanche,14,13,1,2,1,0
373,Ottawa Senators,Chicago Blackhawks,4,21,4,3,1,0
374,Montreal Canadiens,Washington Capitals,9,2,2,3,1,0
375,Detroit Red Wings,Arizona Coyotes,27,29,5,1,1,0
376,Carolina Hurricanes,New Jersey Devils,10,24,1,5,1,0
377,Minnesota Wild,Toronto Maple Leafs,19,5,1,0,1,0
378,Nashville Predators,Florida Panthers,20,15,1,2,1,0
379,Vancouver Canucks,Dallas Stars,0,8,2,4,1,0
380,New York Islanders,St Louis Blues,23,3,1,1,1,0
381,Calgary Flames,Boston Bruins,12,7,5,4,1,0
382,Buffalo Sabres,Arizona Coyotes,17,29,5,2,1,0
383,New Jersey Devils,Philadelphia Flyers,24,22,3,4,1,0
384,Columbus Blue Jackets,Florida Panthers,25,15,1,1,1,0
385,Anaheim Ducks,San Jose Sharks,11,6,1,0,1,0
386,Edmonton Oilers,Dallas Stars,1,8,2,1,1,0
387,Minnesota Wild,Colorado Avalanche,19,13,3,0,1,0
388,Philadelphia Flyers,Columbus Blue Jackets,22,25,1,4,1,0
389,Vancouver Canucks,Boston Bruins,0,7,0,4,1,0
390,Carolina Hurricanes,Montreal Canadiens,10,9,3,2,1,0
391,Winnipeg Jets,Washington Capitals,28,2,2,1,1,0
392,Ottawa Senators,New York Islanders,4,23,3,2,1,0
393,San Jose Sharks,Tampa Bay Lightning,6,16,3,4,1,0
394,St Louis Blues,Toronto Maple Leafs,3,5,1,4,1,0
395,Los Angeles Kings,Pittsburgh Penguins,26,18,5,3,1,0
396,Detroit Red Wings,Nashville Predators,27,20,5,4,1,0
397,Carolina Hurricanes,Arizona Coyotes,10,29,5,4,1,0
398,Chicago Blackhawks,Winnipeg Jets,21,28,3,1,1,0
399,Los Angeles Kings,Tampa Bay Lightning,26,16,3,1,1,0
400,New Jersey Devils,Florida Panthers,24,15,4,2,1,0
401,Anaheim Ducks,Pittsburgh Penguins,11,18,2,1,1,0
402,Edmonton Oilers,Buffalo Sabres,1,17,4,2,1,0
403,New York Rangers,Ottawa Senators,14,4,4,1,1,0
404,Boston Bruins,Nashville Predators,7,20,2,3,1,0
405,Vancouver Canucks,Buffalo Sabres,0,17,5,2,1,0
406,Colorado Avalanche,Minnesota Wild,13,19,2,1,1,0
