"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2013-04-30 - Kings 1, Blues 2","St Louis Blues","Limited ReportFull ReportSeries Report","73.433333333333","83","61","57.64","66","43","60.55","42","29","59.15","2","1","66.67","4.88","2.07","70.19","48","28","63.16","19","8","70.37","2","0","100.00","14.29","100.00","4.76","96.55","1.013"
"2013-04-30 - Red Wings 1, Ducks 3","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","50","55","47.62","35","38","47.95","27","22","55.10","3","1","75.00","2.56","2.32","52.47","27","23","54.00","9","10","47.37","1","1","50.00","12.50","87.50","11.11","95.45","1.066"
"2013-04-30 - Wild 1, Blackhawks 2","Chicago Blackhawks","Limited ReportFull ReportSeries Report","76.583333333333","66","47","58.41","45","37","54.88","37","27","57.81","2","1","66.67","2.45","1.89","56.43","30","17","63.83","9","6","60.00","1","0","100.00","12.50","100.00","5.41","96.30","1.017"
"2013-05-01 - Islanders 0, Penguins 5","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","48","62","43.64","36","40","47.37","26","26","50.00","5","0","100.00","2.8","1.92","59.35","28","24","53.85","9","3","75.00","2","0","100.00","22.22","100.00","19.23","100.00","1.192"
"2013-05-01 - Maple Leafs 1, Bruins 4","Boston Bruins","Limited ReportFull ReportSeries Report","60","71","33","68.27","55","25","68.75","40","20","66.67","4","1","80.00","3.51","1.51","69.93","33","14","70.21","13","7","65.00","2","1","66.67","18.18","83.33","10.00","95.00","1.050"
"2013-05-01 - Sharks 3, Canucks 1","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","59","46","56.19","44","35","55.70","31","28","52.54","1","3","25.00","1.93","2.81","40.67","23","23","50.00","7","9","43.75","1","2","33.33","25.00","77.78","3.23","89.29","0.925"
"2013-05-02 - Kings 1, Blues 2","St Louis Blues","Limited ReportFull ReportSeries Report","60","48","42","53.33","37","35","51.39","25","29","46.30","2","1","66.67","2.07","2.42","46.02","22","23","48.89","9","15","37.50","1","1","50.00","16.67","92.31","8.00","96.55","1.046"
"2013-05-02 - Rangers 1, Capitals 3","Washington Capitals","Limited ReportFull ReportSeries Report","60","53","79","40.15","38","54","41.30","30","36","45.45","3","1","75.00","2.4","3.75","39.02","28","37","43.08","11","19","36.67","2","1","66.67","25.00","90.00","10.00","97.22","1.072"
"2013-05-02 - Red Wings 5, Ducks 4","Anaheim Ducks","Limited ReportFull ReportSeries Report","61.35","69","61","53.08","45","45","50.00","32","32","50.00","4","5","44.44","2.91","3.27","47.05","34","25","57.63","10","11","47.62","3","3","50.00","37.50","66.67","12.50","84.38","0.969"
"2013-05-02 - Senators 4, Canadiens 2","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","80","57","58.39","61","36","62.89","50","31","61.73","2","4","33.33","3.6","1.71","67.82","27","15","64.29","14","6","70.00","1","2","33.33","8.33","60.00","4.00","87.10","0.911"
