"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2020-08-01 - Blackhawks 6, Oilers 4","Edmonton Oilers","Limited ReportFull ReportSeries Report","60","51","69","42.50","36","54","40.00","29","42","40.85","4","6","40.00","2.64","3.29","44.53","29","35","45.31","10","12","45.45","3","3","50.00","33.33","72.73","13.79","85.71","0.995"
"2020-08-01 - Canadiens 3, Penguins 2","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","73.95","96","64","60.00","69","47","59.48","41","35","53.95","2","3","40.00","4.44","2.39","64.99","55","33","62.50","20","12","62.50","1","1","50.00","7.69","90.91","4.88","91.43","0.963"
"2020-08-01 - Jets 1, Flames 4","Calgary Flames","Limited ReportFull ReportSeries Report","60","50","45","52.63","42","38","52.50","33","18","64.71","4","1","80.00","3.23","1.85","63.60","23","21","52.27","6","8","42.86","2","1","66.67","40.00","0.00","12.12","94.44","1.066"
"2020-08-01 - Panthers 1, Islanders 2","New York Islanders","Limited ReportFull ReportSeries Report","60","58","51","53.21","43","39","52.44","28","28","50.00","2","1","66.67","1.86","1.85","50.19","26","21","55.32","6","5","54.55","1","1","50.00","33.33","75.00","7.14","96.43","1.036"
"2020-08-01 - Rangers 2, Hurricanes 3","Carolina Hurricanes","Limited ReportFull ReportSeries Report","60","69","49","58.47","54","40","57.45","37","26","58.73","3","2","60.00","3.1","2.19","58.57","33","20","62.26","15","8","65.22","1","1","50.00","11.11","50.00","8.11","92.31","1.004"
"2020-08-02 - Blue Jackets 2, Maple Leafs 0","Toronto Maple Leafs","Limited ReportFull ReportSeries Report","60","62","69","47.33","44","55","44.44","28","35","44.44","0","2","0.00","1.87","2.75","40.51","29","28","50.88","10","10","50.00","0","0","-","0.00","100.00","0.00","94.29","0.943"
"2020-08-02 - Blues 1, Avalanche 2","Colorado Avalanche","Limited ReportFull Report","60","63","49","56.25","49","39","55.68","38","32","54.29","2","1","66.67","2.82","1.82","60.77","29","24","54.72","8","5","61.54","2","0","100.00","33.33","100.00","5.26","96.88","1.021"
"2020-08-02 - Coyotes 4, Predators 3","Nashville Predators","Limited ReportFull ReportSeries Report","60","76","60","55.88","56","43","56.57","43","37","53.75","3","4","42.86","2.57","2.48","50.94","31","24","56.36","10","10","50.00","1","3","25.00","25.00","62.50","6.98","89.19","0.962"
"2020-08-02 - Flyers 4, Bruins 1","Boston Bruins","Limited ReportFull Report","60","70","47","59.83","54","36","60.00","35","29","54.69","1","4","20.00","2.82","1.31","68.23","34","14","70.83","12","5","70.59","1","1","50.00","9.09","80.00","2.86","86.21","0.891"
"2020-08-02 - Wild 3, Canucks 0","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","54","55","49.54","39","41","48.75","28","31","47.46","0","3","0.00","1.41","2.81","33.37","23","24","48.94","5","8","38.46","0","0","-","0.00","100.00","0.00","90.32","0.903"
