"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2010-10-07 - Blackhawks 3, Avalanche 4","Colorado Avalanche","Limited ReportFull Report","63.666666666667","58","62","48.33","48","46","51.06","41","38","51.90","4","3","57.14","3.33","2.92","53.25","25","30","45.45","13","13","50.00","2","2","50.00","18.18","77.78","9.76","92.11","1.019"
"2010-10-07 - Canadiens 2, Maple Leafs 3","Toronto Maple Leafs","Limited ReportFull Report","60","54","65","45.38","33","43","43.42","24","28","46.15","3","2","60.00","1.37","3.14","30.45","20","29","40.82","8","16","33.33","3","2","60.00","50.00","85.71","12.50","92.86","1.054"
"2010-10-07 - Flames 0, Oilers 4","Edmonton Oilers","Limited ReportFull Report","60","61","79","43.57","44","59","42.72","33","37","47.14","4","0","100.00","3.47","3.46","50.05","39","40","49.37","18","13","58.06","1","0","100.00","6.25","100.00","12.12","100.00","1.121"
"2010-10-07 - Flyers 3, Penguins 2","Pittsburgh Penguins","Limited ReportFull Report","60","65","51","56.03","49","37","56.98","31","27","53.45","2","3","40.00","3.06","2.3","57.12","29","23","55.77","13","10","56.52","1","2","33.33","10.00","71.43","6.45","88.89","0.953"
"2010-10-07 - Hurricanes 4, Wild 3","Minnesota Wild","Limited ReportFull Report","60","56","59","48.70","37","40","48.05","29","31","48.33","3","4","42.86","2.22","2.74","44.82","24","28","46.15","11","10","52.38","3","3","50.00","33.33","62.50","10.34","87.10","0.974"
"2010-10-08 - Capitals 2, Thrashers 4","Atlanta Thrashers","Limited ReportFull Report","60","46","67","40.71","34","44","43.59","31","31","50.00","4","2","66.67","2.76","2.49","52.56","21","26","44.68","12","10","54.55","3","1","75.00","25.00","88.89","12.90","93.55","1.065"
"2010-10-08 - Ducks 0, Red Wings 4","Detroit Red Wings","Limited ReportFull Report","60","74","43","63.25","54","35","60.67","43","21","67.19","4","0","100.00","3.61","2.14","62.79","33","23","58.93","8","12","40.00","1","0","100.00","12.50","100.00","9.30","100.00","1.093"
"2010-10-08 - Sabres 2, Senators 1","Ottawa Senators","Limited ReportFull Report","60","60","51","54.05","40","44","47.62","26","36","41.94","1","2","33.33","1.94","3.56","35.22","28","30","48.28","5","15","25.00","1","2","33.33","33.33","85.71","3.85","94.44","0.983"
"2010-10-08 - Sharks 3, Blue Jackets 2","Columbus Blue Jackets","Limited ReportFull Report","60","65","55","54.17","44","41","51.76","32","28","53.33","2","3","40.00","3.63","3.85","48.47","31","24","56.36","13","12","52.00","1","1","50.00","10.00","88.89","6.25","89.29","0.955"
"2010-10-08 - Stars 4, Devils 3","New Jersey Devils","Limited ReportFull Report","61.6","44","48","47.83","36","40","47.37","30","28","51.72","3","4","42.86","2.14","2.37","47.49","21","26","44.68","10","7","58.82","1","3","25.00","16.67","50.00","10.00","85.71","0.957"
"2010-10-08 - Wild 1, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","65","58","70","45.31","43","58","42.57","37","42","46.84","1","1","50.00","2.52","4.49","35.92","20","29","40.82","11","16","40.74","1","1","50.00","11.11","91.67","2.70","97.62","1.003"
"2010-10-09 - Blue Jackets 3, Sharks 2","San Jose Sharks","Limited ReportFull Report","61.933333333333","74","47","61.16","49","34","59.04","35","25","58.33","2","3","40.00","3.39","1.71","66.56","34","20","62.96","10","6","62.50","0","0","-","0.00","100.00","5.71","88.00","0.937"
"2010-10-09 - Canadiens 3, Penguins 2","Pittsburgh Penguins","Limited ReportFull Report","60","61","45","57.55","50","38","56.82","38","27","58.46","2","3","40.00","2.52","2.3","52.23","28","20","58.33","5","10","33.33","0","2","0.00","0.00","75.00","5.26","88.89","0.942"
