"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2013-01-19 - Avalanche 2, Wild 4","Minnesota Wild","Limited ReportFull Report","60","54","53","50.47","44","35","55.70","35","27","56.45","4","2","66.67","3.73","2.02","64.87","26","18","59.09","13","9","59.09","3","2","60.00","27.27","71.43","11.43","92.59","1.040"
"2013-01-19 - Blackhawks 5, Kings 2","Los Angeles Kings","Limited ReportFull Report","60","50","42","54.35","35","35","50.00","21","22","48.84","2","5","28.57","1.95","1.73","52.99","21","16","56.76","6","4","60.00","1","1","50.00","33.33","66.67","9.52","77.27","0.868"
"2013-01-19 - Blue Jackets 3, Predators 2","Nashville Predators","Limited ReportFull Report","65","58","48","54.72","46","39","54.12","34","28","54.84","2","2","50.00","2.17","1.59","57.69","13","13","50.00","6","7","46.15","1","1","50.00","20.00","83.33","5.88","92.86","0.987"
"2013-01-19 - Capitals 3, Lightning 6","Tampa Bay Lightning","Limited ReportFull Report","60","51","50","50.50","41","42","49.40","34","30","53.13","6","3","66.67","2.5","2.2","53.19","26","19","57.78","10","9","52.63","3","3","50.00","33.33","62.50","17.65","90.00","1.076"
"2013-01-19 - Coyotes 3, Stars 4","Dallas Stars","Limited ReportFull Report","60","64","67","48.85","49","50","49.49","26","40","39.39","4","3","57.14","2.76","3.42","44.71","30","30","50.00","14","20","41.18","3","3","50.00","27.27","80.00","15.38","92.50","1.079"
"2013-01-19 - Devils 2, Islanders 1","New York Islanders","Limited ReportFull Report","60","40","50","44.44","31","34","47.69","19","28","40.43","1","2","33.33","2.46","2.27","52.04","24","32","42.86","12","15","44.44","1","1","50.00","12.50","91.67","5.26","92.86","0.981"
"2013-01-19 - Ducks 7, Canucks 3","Vancouver Canucks","Limited ReportFull Report","60","62","41","60.19","47","34","58.02","29","26","52.73","3","7","30.00","2.29","2.42","48.66","28","26","51.85","13","13","50.00","1","6","14.29","12.50","50.00","10.34","73.08","0.834"
"2013-01-19 - Hurricanes 1, Panthers 5","Florida Panthers","Limited ReportFull Report","60","39","81","32.50","29","67","30.21","25","42","37.31","5","1","83.33","1.99","3.33","37.40","21","37","36.21","7","15","31.82","2","1","66.67","28.57","90.00","20.00","97.62","1.176"
"2013-01-19 - Maple Leafs 2, Canadiens 1","Montreal Canadiens","Limited ReportFull Report","60","48","43","52.75","34","33","50.75","22","26","45.83","1","2","33.33","1.46","2.39","38.00","16","22","42.11","9","11","45.00","1","1","50.00","50.00","87.50","4.55","92.31","0.969"
"2013-01-19 - Penguins 3, Flyers 1","Philadelphia Flyers","Limited ReportFull Report","60","54","53","50.47","42","41","50.60","27","27","50.00","1","3","25.00","2.72","2.44","52.75","20","16","55.56","10","8","55.56","1","0","100.00","12.50","100.00","3.70","88.89","0.926"
"2013-01-19 - Rangers 1, Bruins 3","Boston Bruins","Limited ReportFull Report","60","53","36","59.55","43","31","58.11","34","21","61.82","3","1","75.00","2.42","1.57","60.63","22","18","55.00","6","4","60.00","2","1","66.67","50.00","66.67","8.82","95.24","1.041"
"2013-01-19 - Red Wings 0, Blues 6","St Louis Blues","Limited ReportFull Report","60","65","39","62.50","52","27","65.82","36","14","72.00","6","0","100.00","3.12","1.65","65.46","31","17","64.58","12","6","66.67","5","0","100.00","55.56","100.00","16.67","100.00","1.167"
"2013-01-19 - Senators 4, Jets 1","Winnipeg Jets","Limited ReportFull Report","60","58","61","48.74","44","51","46.32","28","37","43.08","1","4","20.00","2.61","2.4","52.14","23","24","48.94","11","8","57.89","0","2","0.00","0.00","71.43","3.57","89.19","0.928"
"2013-01-20 - Blackhawks 6, Coyotes 4","Phoenix Coyotes","Limited ReportFull Report","60","52","60","46.43","40","43","48.19","29","31","48.33","4","6","40.00","2.27","2.05","52.60","20","23","46.51","9","9","50.00","3","2","60.00","42.86","75.00","13.79","80.65","0.944"
"2013-01-20 - Flyers 2, Sabres 5","Buffalo Sabres","Limited ReportFull Report","60","61","44","58.10","47","35","57.32","41","29","58.57","5","2","71.43","3.61","2.08","63.41","31","17","64.58","17","6","73.91","3","1","75.00","17.65","83.33","12.20","93.10","1.053"
"2013-01-20 - Oilers 3, Canucks 2","Vancouver Canucks","Limited ReportFull Report","65","60","55","52.17","43","41","51.19","29","32","47.54","2","2","50.00","2.27","2.16","51.32","34","27","55.74","13","9","59.09","1","1","50.00","12.50","85.71","6.90","93.75","1.006"
"2013-01-20 - Penguins 6, Rangers 3","New York Rangers","Limited ReportFull Report","60","64","64","50.00","48","48","50.00","34","39","46.58","3","6","33.33","4.17","5.25","44.28","35","45","43.75","20","23","46.51","3","3","50.00","18.75","83.33","8.82","84.62","0.934"
"2013-01-20 - Sharks 4, Flames 1","Calgary Flames","Limited ReportFull Report","60","58","52","52.73","46","37","55.42","32","29","52.46","1","4","20.00","2.77","2.27","54.97","26","21","55.32","13","12","52.00","0","3","0.00","0.00","70.00","3.13","86.21","0.893"
"2013-01-20 - Stars 0, Wild 1","Minnesota Wild","Limited ReportFull Report","60","51","62","45.13","40","36","52.63","32","24","57.14","1","0","100.00","2.14","1.3","62.20","20","18","52.63","6","2","75.00","0","0","-","0.00","100.00","3.13","100.00","1.031"
"2013-01-21 - Blues 4, Predators 3","Nashville Predators","Limited ReportFull Report","65","42","71","37.17","35","55","38.89","24","39","38.10","3","3","50.00","1.94","2.61","42.64","18","24","42.86","8","6","57.14","2","0","100.00","33.33","100.00","12.50","92.31","1.048"
