Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Mar 1 2020,1:00p,Milwaukee Bucks,93,Charlotte Hornets,85,Box Score,,19149,
Sun Mar 1 2020,3:30p,Philadelphia 76ers,130,Los Angeles Clippers,136,Box Score,,19068,
Sun Mar 1 2020,3:30p,Dallas Mavericks,111,Minnesota Timberwolves,91,Box Score,,18058,
Sun Mar 1 2020,6:00p,Toronto Raptors,118,Denver Nuggets,133,Box Score,,19777,
Sun Mar 1 2020,6:00p,Detroit Pistons,100,Sacramento Kings,106,Box Score,,17499,
Sun Mar 1 2020,8:00p,Los Angeles Lakers,122,New Orleans Pelicans,114,Box Score,,18547,
Sun Mar 1 2020,8:30p,Washington Wizards,124,Golden State Warriors,110,Box Score,,18064,
Mon Mar 2 2020,7:00p,Utah Jazz,126,Cleveland Cavaliers,113,Box Score,,15453,
Mon Mar 2 2020,7:00p,Houston Rockets,123,New York Knicks,125,Box Score,,18142,
Mon Mar 2 2020,7:00p,Portland Trail Blazers,130,Orlando Magic,107,Box Score,,18078,
Mon Mar 2 2020,7:30p,Memphis Grizzlies,127,Atlanta Hawks,88,Box Score,,16207,
Mon Mar 2 2020,7:30p,Milwaukee Bucks,89,Miami Heat,105,Box Score,,19600,
Mon Mar 2 2020,8:00p,Dallas Mavericks,107,Chicago Bulls,109,Box Score,,18407,
Mon Mar 2 2020,8:30p,Indiana Pacers,116,San Antonio Spurs,111,Box Score,,17635,
Tue Mar 3 2020,7:00p,San Antonio Spurs,104,Charlotte Hornets,103,Box Score,,12008,
Tue Mar 3 2020,7:30p,Brooklyn Nets,129,Boston Celtics,120,Box Score,OT,19156,
Tue Mar 3 2020,8:00p,Minnesota Timberwolves,139,New Orleans Pelicans,134,Box Score,,15264,
Tue Mar 3 2020,8:00p,Los Angeles Clippers,109,Oklahoma City Thunder,94,Box Score,,18203,
Tue Mar 3 2020,9:00p,Golden State Warriors,116,Denver Nuggets,100,Box Score,,19520,
Tue Mar 3 2020,9:00p,Toronto Raptors,123,Phoenix Suns,114,Box Score,,15553,
Tue Mar 3 2020,10:00p,Philadelphia 76ers,107,Los Angeles Lakers,120,Box Score,,18997,
Tue Mar 3 2020,10:00p,Washington Wizards,126,Sacramento Kings,133,Box Score,,16419,
Wed Mar 4 2020,7:00p,Boston Celtics,112,Cleveland Cavaliers,106,Box Score,,16897,
Wed Mar 4 2020,7:00p,Oklahoma City Thunder,114,Detroit Pistons,107,Box Score,,15138,
Wed Mar 4 2020,7:00p,Indiana Pacers,100,Milwaukee Bucks,119,Box Score,,17695,
Wed Mar 4 2020,7:30p,Memphis Grizzlies,118,Brooklyn Nets,79,Box Score,,16941,
Wed Mar 4 2020,7:30p,Utah Jazz,112,New York Knicks,104,Box Score,,16588,
Wed Mar 4 2020,7:30p,Orlando Magic,113,Miami Heat,116,Box Score,,19600,
Wed Mar 4 2020,8:00p,Chicago Bulls,108,Minnesota Timberwolves,115,Box Score,,13392,
Wed Mar 4 2020,9:30p,New Orleans Pelicans,123,Dallas Mavericks,127,Box Score,OT,20459,
Wed Mar 4 2020,10:00p,Washington Wizards,104,Portland Trail Blazers,125,Box Score,,19393,
Thu Mar 5 2020,7:00p,Denver Nuggets,114,Charlotte Hornets,112,Box Score,,13311,
Thu Mar 5 2020,8:00p,Los Angeles Clippers,120,Houston Rockets,105,Box Score,,18055,
Thu Mar 5 2020,10:00p,Philadelphia 76ers,125,Sacramento Kings,108,Box Score,,15485,
Thu Mar 5 2020,10:30p,Toronto Raptors,121,Golden State Warriors,113,Box Score,,18064,
Fri Mar 6 2020,7:00p,Atlanta Hawks,112,Washington Wizards,118,Box Score,,17856,
Fri Mar 6 2020,7:30p,San Antonio Spurs,120,Brooklyn Nets,139,Box Score,,16277,
Fri Mar 6 2020,7:30p,Oklahoma City Thunder,126,New York Knicks,103,Box Score,,19499,
Fri Mar 6 2020,8:00p,Indiana Pacers,108,Chicago Bulls,102,Box Score,,20229,
Fri Mar 6 2020,8:00p,Orlando Magic,132,Minnesota Timberwolves,118,Box Score,,14315,
Fri Mar 6 2020,8:00p,Miami Heat,104,New Orleans Pelicans,110,Box Score,,18384,
Fri Mar 6 2020,8:00p,Utah Jazz,99,Boston Celtics,94,Box Score,,19156,
Fri Mar 6 2020,8:30p,Memphis Grizzlies,96,Dallas Mavericks,121,Box Score,,20370,
Fri Mar 6 2020,9:00p,Portland Trail Blazers,117,Phoenix Suns,127,Box Score,,15522,
Fri Mar 6 2020,10:30p,Milwaukee Bucks,103,Los Angeles Lakers,113,Box Score,,18997,
Sat Mar 7 2020,5:00p,Houston Rockets,99,Charlotte Hornets,108,Box Score,,19159,
Sat Mar 7 2020,7:00p,Utah Jazz,111,Detroit Pistons,105,Box Score,,16590,
Sat Mar 7 2020,7:30p,Denver Nuggets,102,Cleveland Cavaliers,104,Box Score,,19432,
Sat Mar 7 2020,8:00p,Atlanta Hawks,101,Memphis Grizzlies,118,Box Score,,17117,
Sat Mar 7 2020,8:30p,Philadelphia 76ers,114,Golden State Warriors,118,Box Score,,18064,
Sat Mar 7 2020,10:00p,Sacramento Kings,123,Portland Trail Blazers,111,Box Score,,19691,
Sun Mar 8 2020,3:00p,Chicago Bulls,107,Brooklyn Nets,110,Box Score,,15916,
Sun Mar 8 2020,3:30p,New Orleans Pelicans,120,Minnesota Timberwolves,107,Box Score,,18978,
Sun Mar 8 2020,3:30p,Los Angeles Lakers,112,Los Angeles Clippers,103,Box Score,,19068,
Sun Mar 8 2020,6:00p,Oklahoma City Thunder,105,Boston Celtics,104,Box Score,,19156,
Sun Mar 8 2020,6:00p,Milwaukee Bucks,131,Phoenix Suns,140,Box Score,,17282,
Sun Mar 8 2020,7:00p,Miami Heat,100,Washington Wizards,89,Box Score,,18135,
Sun Mar 8 2020,7:00p,Indiana Pacers,112,Dallas Mavericks,109,Box Score,,20324,
Sun Mar 8 2020,7:00p,Orlando Magic,126,Houston Rockets,106,Box Score,,18055,
Sun Mar 8 2020,7:30p,Detroit Pistons,84,New York Knicks,96,Box Score,,18361,
Sun Mar 8 2020,7:30p,San Antonio Spurs,129,Cleveland Cavaliers,132,Box Score,OT,17995,
Sun Mar 8 2020,9:00p,Toronto Raptors,118,Sacramento Kings,113,Box Score,,16449,
Mon Mar 9 2020,7:30p,Charlotte Hornets,138,Atlanta Hawks,143,Box Score,2OT,14399,
Mon Mar 9 2020,9:00p,Milwaukee Bucks,95,Denver Nuggets,109,Box Score,,19838,
Mon Mar 9 2020,9:00p,Toronto Raptors,101,Utah Jazz,92,Box Score,,18306,
Tue Mar 10 2020,7:00p,New York Knicks,115,Washington Wizards,122,Box Score,,15048,
Tue Mar 10 2020,7:00p,Boston Celtics,114,Indiana Pacers,111,Box Score,,17053,
Tue Mar 10 2020,8:00p,Minnesota Timberwolves,111,Houston Rockets,117,Box Score,,18055,
Tue Mar 10 2020,8:00p,Dallas Mavericks,109,San Antonio Spurs,119,Box Score,,18354,
Tue Mar 10 2020,8:00p,Orlando Magic,120,Memphis Grizzlies,115,Box Score,,15388,
Tue Mar 10 2020,8:00p,Cleveland Cavaliers,103,Chicago Bulls,108,Box Score,,17837,
Tue Mar 10 2020,10:00p,Phoenix Suns,105,Portland Trail Blazers,121,Box Score,,19393,
Tue Mar 10 2020,10:30p,Brooklyn Nets,104,Los Angeles Lakers,102,Box Score,,18997,
Tue Mar 10 2020,10:30p,Los Angeles Clippers,131,Golden State Warriors,107,Box Score,,18064,
Wed Mar 11 2020,7:00p,Detroit Pistons,106,Philadelphia 76ers,124,Box Score,,20172,
Wed Mar 11 2020,7:30p,New York Knicks,136,Atlanta Hawks,131,Box Score,OT,15393,
Wed Mar 11 2020,7:30p,Charlotte Hornets,109,Miami Heat,98,Box Score,,19600,
Wed Mar 11 2020,8:00p,Denver Nuggets,97,Dallas Mavericks,113,Box Score,,20302,
